text@dsa1974f	@dsa1974f	сначала это было удобней / по метру //
text@dsa1974f	@dsa1974f	ну я обычно говорю так / аа / ну это просто рубеж я к нему готова // это вообще не ложится никак / это не... это это совершенно невозможно положить на аа четкий ритм заданный ритм той же песни //
text@dsa1974f	@dsa1974f	поэтому да / но это где-то в де... в девяносто восьмом уж в девяносто девятом году / было так / сейчас этого все меньше и меньше ээ и ммм  //
text@dsa1974f	@dsa1974f	не там же / там б... / компиляция //
text@dsa1974f	@dsa1974f	конечно / конечно //
text@dsa1974f	@dsa1974f	не / ни ни в коем случае мне очень нравится быть девочкой я тащусь вообще от этого эт... это очень удобно //
text@dsa1974f	@dsa1974f	я просто влюбилась очень сильно аа в шестнадцатом году //
text@dsa1974f	@dsa1974f	ой / я я так влюбилась / просто извини смачно / мн... влюбилась что начались ээ ээм / да о чем говорить если у меня обложка обнаженная / выживут только влюбленные //
text@dsa1974f	@dsa1974f	мне это все очень нравилось конечно / это был / такой момент  / это был взрыв / ааа вот щас мы конечно / эхо минувшей войны //
text@dsa1974f	@dsa1974f	н... в процессе менялся / но как только я поменяла / уже все все узнали //
text@dsa1974f	@dsa1974f	да //
text@dsa1974f	@dsa1974f	слушай ну я те хочу сказать /
text@dsa1974f	@dsa1974f	да я вообще / да я / я я ж тебе говорю что я ребенок / я тебе говорю я ребенок / ты вот слушай что я тебе говорю //
text@dsa1974f	@dsa1974f	эмм у меня действительно какие-то такие детские абсолютно бывают реакции и / я могу вдруг заплакать вот как-то / меня можно так обидеть что / я могу не сдержаться вдруг / ну / при том что я действительно как-то все же  / ну умею себя вести / хотя вообще отпор могу дать //
text@dsa1974f	@dsa1974f	но / гхм / но что касается вот / проявлений вот этой женственности / то конечно она все годы во мне была / просто когда / аа / мы с Сургановой стали петь и плясать и танцевать // мы же получили такое полнейшее равнодушие как ушат просто / холодной воды / и / от коллег по цеху имеется в виду / я так / меня так это замкнуло / я просто и все / и все ворота закрылись //
text@dsa1974f	@dsa1974f	я перестала улыбаться / ну и так далее / ну в процессе времени я поняла что на самом деле все зави... было... все зависело от меня / что очень многие моменты наверное я спровоцировала сама // и когда вот например я куда-то прихожу мне говорят здравствуйте мы вас так рады видеть вот опять же те люди которые выходят со мной / на одну сцену / я думаю / о они ко мне хорошо относятся / здорово //  то есть как ты мир вокруг себя построишь / таким он и будет //
text@dsa1974f	@dsa1974f	конечно / а вся агрессия берется из нелюбви / вся агрессия любого человека / и мира в частности и мира в общем берется от недолюбленности //
text@dsa1974f	@dsa1974f	если говорить например про / тех же детей да вот когда я думаю кем бы я хотела чтобы они стали / я думаю да господи все равно //
text@dsa1974f	@dsa1974f	главное их / упаковать в такое количество вот этой самой любви / вот в этот кокон / чтобы ну просто защитить со всех сторон этим  //
text@dsa1974f	@dsa1974f	это им поможет / потому что я всегда вижу какое было детство у человека / я знаю всегда когда / ему как-то в жизни не повез... я знаю когда например у человека был не очень хороший отец / это всегда видно //
text@dsa1974f	@dsa1974f	всегда вылезает / это достаточно пообщаться минут пятнадцать двадцать и все будет понятно // 
text@dsa1974f	@dsa1974f	да конечно / у меня ж нормальные дети / думаешь они немые / или не любознательные ?
text@dsa1974f	@dsa1974f	не / ну когда мы общались то / сколько им было лет ?
text@dsa1974f	@dsa1974f	в четырнадцатом?
text@dsa1974f	@dsa1974f	а что рассказывать то?
text@dsa1974f	@dsa1974f	нет /  я / почему мы не живем с папой они задают мне вопрос  / я говорю потому что мы друг друга не любим //
text@dsa1974f	@dsa1974f	я не люблю папу а папа не любит меня / вот и все //
text@dsa1974f	@dsa1974f	нет пока //
text@dsa1974f	@dsa1974f	не пришло время //
text@dsa1974f	@dsa1974f	посмотрим //
text@dsa1974f	@dsa1974f	в смысле?
text@dsa1974f	@dsa1974f	нет это был живой папа //
text@dsa1974f	@dsa1974f	этим ограничимся / щас просто мы человека обидим //
text@dsa1974f	@dsa1974f	если / если моя / если моя мама смотрит программу твою / то значит и папа детей смотрит программы / вот он просто увидит это все //
text@dsa1974f	@dsa1974f	о это #нрзб#
text@dsa1974f	@dsa1974f	во-первых / нет / я тебе объясню //
text@dsa1974f	@dsa1974f	извини за некорректный вопрос / у тебя есть дети?
text@dsa1974f	@dsa1974f	послушай // когда / когда они у тебя появятся / я имею в виду появятся в самом зачаточном / состоянии / ты поймешь одну простую вещь / что ты очень хочешь оберегать то что поселилось в тебе // 
text@dsa1974f	@dsa1974f	я с таким / удивлением слежу за женщинами которые фотографируются беременными / которые фотографируются в разных стадиях своего вот этого своих этих девяти месяцев / которые делают из этого пиар и так далее / я думаю ты вообще нормальная?
text@dsa1974f	@dsa1974f	ты вообще что делаешь?
text@dsa1974f	@dsa1974f	это совершенно / ты носишь в себе другого человека / все что ты должна сделать это его максимально сохранить / ну / понятно выносить сохранить и уберечь / от мира //
text@dsa1974f	@dsa1974f	ни в коем случае никаких папарацци!
text@dsa1974f	@dsa1974f	ни в коем случае никакой / эээ / ээ / никакого пиара на этом / это отвратительно / это просто мерзко!
text@iys1984f	@iys1984f	почему / н... многие твои стихи написаны от мужского все-таки имени ?
text@iys1984f	@iys1984f	слушай ну твоя книжка спринтер / да из которого / собственно эти стихи ну она тринадцатого года ?
text@iys1984f	@iys1984f	там сборник из разных / все я поняла //
